user_id,timestamp,search_query,page_views,session_duration,clicked_game,purchased
1,2025-01-01 22:09:14.662148,destiny,11,1084,1,0.0
1,2025-01-06 22:09:14.662148,new console,12,111,0,0.0
1,2025-01-12 22:09:14.662148,xbox exclusives best price,14,516,1,1.0
1,2025-01-20 22:09:14.662148,fallout gameplay,12,276,0,0.0
1,2025-01-21 22:09:14.662148,rpg games xbox,1,188,1,0.0
1,2025-01-30 22:09:14.662148,nba 2k,11,1385,0,0.0
1,2025-02-02 22:09:14.662148,nba 2k buy,3,986,1,1.0
1,2025-02-08 22:09:14.662148,gears of war digital code,11,105,1,0.0
1,2025-02-11 22:09:14.662148,fifa,2,267,1,0.0
1,2025-02-14 22:09:14.662148,star wars,4,276,1,0.0
1,2025-03-06 22:09:14.662148,destiny,1,992,0,0.0
1,2025-03-15 22:09:14.662148,cheap game,3,1395,1,0.0
1,2025-03-17 22:09:14.662148,nba 2k,3,1038,1,0.0
1,2025-03-21 22:09:14.662148,deal xbox,5,256,1,0.0
1,2025-03-21 22:09:14.662148,rpg games xbox,8,709,1,0.0
1,2025-03-24 22:09:14.662148,elder scrolls,3,98,0,0.0
2,2025-01-16 22:09:14.662148,deal headset,11,433,1,0.0
2,2025-01-21 22:09:14.662148,destiny digital code,8,1622,1,1.0
2,2025-01-30 22:09:14.662148,fallout,2,1758,1,0.0
2,2025-02-04 22:09:14.662148,fifa,6,1728,1,0.0
2,2025-02-12 22:09:14.662148,best controller,4,1494,1,0.0
2,2025-02-13 22:09:14.662148,best headset,8,939,1,0.0
2,2025-02-15 22:09:14.662148,madden,13,1776,0,0.0
2,2025-03-18 22:09:14.662148,halo best price,3,1269,1,1.0
2,2025-03-21 22:09:14.662148,sale game,13,364,0,0.0
3,2025-01-11 22:09:14.662148,shooter games xbox,12,223,1,0.0
3,2025-01-15 22:09:14.662148,halo review,8,1545,0,0.0
3,2025-01-23 22:09:14.662148,fifa best price,11,866,1,0.0
3,2025-01-29 22:09:14.662148,xbox exclusives,14,1433,0,0.0
3,2025-02-19 22:09:14.662148,gears of war best price,12,953,0,0.0
3,2025-02-28 22:09:14.662148,sea of thieves digital code,6,918,1,1.0
3,2025-03-01 22:09:14.662148,cheap xbox,4,980,0,0.0
3,2025-03-11 22:09:14.662148,assassin's creed buy,8,800,0,0.0
3,2025-03-22 22:09:14.662148,fallout digital code,15,38,0,0.0
4,2025-02-10 22:09:14.662148,best console,11,739,1,0.0
4,2025-02-18 22:09:14.662148,assassin's creed,2,668,0,0.0
4,2025-02-21 22:09:14.662148,star wars,15,914,1,0.0
4,2025-03-07 22:09:14.662148,racing games xbox best price,15,1751,1,0.0
4,2025-03-08 22:09:14.662148,madden gameplay,1,1484,1,0.0
5,2024-12-31 22:09:14.662148,sea of thieves,3,47,1,0.0
5,2025-01-19 22:09:14.662148,best console,6,126,1,0.0
5,2025-01-20 22:09:14.662148,halo,14,1613,0,0.0
5,2025-01-21 22:09:14.662148,sale xbox,7,1243,0,0.0
5,2025-02-12 22:09:14.662148,deal headset,1,375,1,0.0
5,2025-02-13 22:09:14.662148,shooter games xbox best price,14,1536,1,0.0
5,2025-02-21 22:09:14.662148,xbox exclusives,2,57,0,0.0
5,2025-02-25 22:09:14.662148,sea of thieves,10,528,1,0.0
5,2025-03-20 22:09:14.662148,new xbox,11,837,1,0.0
6,2024-12-29 22:09:14.662148,best game,11,236,1,0.0
6,2025-01-03 22:09:14.662148,best xbox games best price,14,1102,0,0.0
6,2025-01-30 22:09:14.662148,new controller,7,725,0,0.0
6,2025-02-07 22:09:14.662148,best xbox games,14,568,1,0.0
6,2025-02-22 22:09:14.662148,forza buy,6,1682,0,0.0
6,2025-03-02 22:09:14.662148,cheap console,11,451,0,0.0
6,2025-03-18 22:09:14.662148,rpg games xbox,10,284,1,1.0
7,2025-01-11 22:09:14.662148,madden,9,704,1,1.0
7,2025-01-25 22:09:14.662148,battlefield,6,408,1,0.0
7,2025-02-06 22:09:14.662148,top rated console,5,1382,0,0.0
7,2025-02-13 22:09:14.662148,assassin's creed buy,11,123,1,0.0
7,2025-02-20 22:09:14.662148,destiny,13,45,1,0.0
7,2025-02-23 22:09:14.662148,cheap xbox,11,1308,1,0.0
7,2025-03-05 22:09:14.662148,minecraft,1,979,1,0.0
7,2025-03-12 22:09:14.662148,nba 2k best price,2,1180,1,0.0
7,2025-03-13 22:09:14.662148,madden review,6,1316,1,0.0
7,2025-03-13 22:09:14.662148,gears of war,7,1635,1,0.0
7,2025-03-19 22:09:14.662148,fallout review,9,577,0,0.0
8,2025-01-26 22:09:14.662148,minecraft,3,444,1,1.0
8,2025-02-02 22:09:14.662148,shooter games xbox,14,672,1,0.0
8,2025-02-08 22:09:14.662148,sea of thieves,12,887,0,0.0
8,2025-02-11 22:09:14.662148,shooter games xbox,11,288,1,0.0
8,2025-02-16 22:09:14.662148,star wars,2,1058,0,0.0
8,2025-02-19 22:09:14.662148,deal headset,10,245,0,0.0
8,2025-02-20 22:09:14.662148,destiny,1,1416,1,0.0
8,2025-02-22 22:09:14.662148,cheap headset,2,243,0,0.0
8,2025-02-27 22:09:14.662148,fifa,6,1711,1,0.0
8,2025-03-01 22:09:14.662148,forza,3,927,1,0.0
8,2025-03-10 22:09:14.662148,cheap game,15,1526,1,0.0
8,2025-03-14 22:09:14.662148,fallout,14,1562,1,0.0
8,2025-03-24 22:09:14.662148,top rated xbox,2,156,1,0.0
9,2024-12-28 22:09:14.662148,fifa,14,589,1,0.0
9,2024-12-31 22:09:14.662148,new headset,6,728,0,0.0
9,2025-01-07 22:09:14.662148,halo,8,384,1,0.0
9,2025-01-09 22:09:14.662148,sale xbox,15,1684,1,1.0
9,2025-01-19 22:09:14.662148,fallout digital code,7,168,1,0.0
9,2025-02-20 22:09:14.662148,fallout review,10,1118,1,0.0
10,2025-01-05 22:09:14.662148,star wars,7,1421,1,0.0
